day_ts,B,H,W,beta,dH,dW,sleepness,subjective_alertness,ts,x,xc,day
23,0.8957281529457117,0.7535483980156902,-5e-324,1.0,-0.17941628524183098,-0.0,4.561211189806682,27.88552941176471,5702.0,-1.0666148156790811,-0.0621327728215813,262
24,0.704959000769386,0.5741321127738592,-5e-324,1.0,-0.1366981220890141,-0.0,3.3634311031913913,27.88552941176471,5703.0,-0.9814470217218816,0.2356780181563932,262
25,0.5531352431672772,0.4374339906848451,-5e-324,1.0,-0.10415095016305836,-0.0,2.410177018574872,27.88552941176471,5704.0,-0.86797638771517,0.5101948369954514,262
26,0.42860042001466825,0.3332830405217868,-5e-324,1.0,-0.0793531048861397,-0.0,1.6282616535347203,27.88552941176471,5705.0,-0.7150591109743548,0.7530904376939129,262
27,0.3220657273487933,0.25392993563564703,-5e-324,1.0,-0.06045950848467786,-0.0,0.9593635012227516,27.88552941176471,5706.0,-0.5111462244046985,0.9533785389633096,262
28,0.22721494749574045,0.1934704271509692,-5e-324,1.0,-0.04606438741689743,-0.0,0.36382499821096026,27.88552941176471,5707.0,-0.2531471893831302,1.0973987281513855,262
0,0.14117773973478073,0.14740603973407174,-5e-324,0.0,0.046845821992633416,1e-323,-0.17637583084555694,93.04732080910573,5708.0,0.04672393097742717,1.1711079796846102,263
1,0.14526277655026654,0.1942518617267052,5e-324,0.0,0.04427187572930191,-1e-323,-0.15072715706963802,89.9510875390514,5709.0,0.3675100163273716,1.163991038836691,263
2,0.14647705782635345,0.2385237374560071,-5e-324,0.0,0.04183935508483478,1e-323,-0.14310306315584675,87.02497697614297,5710.0,0.6905227279043785,1.0710602036554406,263
3,0.14728709733883166,0.2803630925408419,5e-324,0.0,0.03954048942083287,-1e-323,-0.13801707736438473,84.25964171888882,5711.0,0.9983195439010522,0.8920361225445652,263
4,0.15775246346181349,0.3199035819616748,-5e-324,0.0,0.037367935057050834,1e-323,-0.07230830318238413,81.646247959286,5712.0,1.216437498123491,0.6310234002103549,263
5,0.20262540771152646,0.3572715170187256,5e-324,0.0,0.035314751812157937,-1e-323,0.20943493694286275,79.17644726339766,5713.0,1.1601358537674358,0.3114763588057193,263
6,0.2455198074841721,0.3925862688308835,-5e-324,0.0,0.033374380833467936,1e-323,0.4787555125645557,76.84234990244819,5714.0,1.1032742786700036,0.00455311137741099,263
7,0.2890052725779325,0.4259606496643515,5e-324,0.0,0.03154062364481585,-1e-323,0.7517872032352155,74.6364996492432,5715.0,1.0274221836940662,-0.2899234895493608,263
